yeah,190
parti,189
perfect,189
afford,189
hopeless,188
piec,188
experienc,188
activ,187
easier,187
voic,187
fill,187
isol,186
straight,186
exampl,186
nearli,185
breath,185
purpos,184
appreci,183
birthday,183
attack,183
forev,183
word,183
process,182
amount,182
healthi,182
marri,182
uncomfort,182
trigger,182
vent,182
definit,181
dog,181
harder,181
within,180
sent,180
honest,180
cycl,180
immedi,179
childhood,178
scream,178
chest,178
damn,178
suddenli,177
selfish,177
summer,176
citi,176
desper,176
rare,176
pa,175
drop,175
fit,175
touch,175
genuin,174
clean,174
beauti,174
anybodi,174
woman,174
function,173
compani,173
admit,172
male,172
profession,171
save,171
didnt,171
inform,171
woke,171
drug,170
confus,170
treat,170
space,170
term,169
intens,169
known,169
send,169
decent,168
esteem,168
agre,168
fell,168
easili,168
appar,167
sub,167
messag,166
safe,166
quickli,165
funni,164
shut,164
meant,164
lay,163
session,163
episod,162
mum,162
embarrass,162
door,161
common,161
town,161
build,160
as,159
account,159
comput,158
ignor,157
husband,156
addict,155
behavior,155
hang,155
100,155
beat,155
quiet,155
son,155
escap,154
offic,154
chat,154
cool,154
gym,154
twice,154
partner,154
imposs,153
order,153
pathet,153
clear,153
ruin,153
choos,152
insur,152
weak,152
list,151
memori,151
brought,151
crush,150
regret,150
notic,150
base,150
medium,150
useless,150
asleep,150
anti,148
distract,148
histori,148
rant,148
born,148
friendship,148
bother,147
ugli,147
public,147
main,147
fake,146
badli,146
financi,146
exercis,146
clinic,146
excus,145
besid,145
direct,145
wall,145
bore,144
return,143
attempt,142
burden,142
express,142
lead,142
psychologist,142
disappoint,141
across,141
test,141
system,141
specif,140
smart,140
result,140
research,140
mention,139
throughout,139
level,139
interact,139
product,139
number,139
distanc,138
train,137
larg,137
expect,137
note,137
multipl,137
truth,136
buy,136
offer,135
near,135
decis,134
everybodi,134
tough,134
book,134
younger,134
poor,134
somebodi,134
educ,133
advanc,133
loneli,132
wrote,131
minut,131
surviv,131
societi,131
concern,131
four,130
progress,130
event,130
that,130
unabl,130
commit,129
insan,129
somewhat,129
practic,129
option,129
eye,129
choic,129
anywher,128
present,128
paranoid,128
will,128
random,127
appli,127
doubt,127
simpl,126
titl,126
desir,125
line,125
unfortun,124
attract,124
fulli,124
sat,124
hide,124
add,124
teacher,124
unless,123
describ,123
adult,123
non,123
psycholog,123
strang,122
special,122
depend,121
abandon,121
hole,121
peac,121
condit,121
guilt,121
calm,121
men,121
shi,120
area,120
daughter,120
loser,120
passion,120
shake,119
disgust,119
pointless,118
stare,118
yell,118
draw,118
biggest,118
loss,118
cover,118
fire,117
program,117
ground,117
2016,117
fairli,116
rel,116
slept,115
suck,115
tend,115
onto,115
joy,114
annoy,114
tonight,114
sport,114
unhappi,114
background,113
arm,113
black,112
pressur,112
rais,112
nowher,112
trap,112
block,112
crap,112
art,112
switch,112
potenti,111
receiv,111
curiou,111
pretend,111
hair,110
stick,110
otherwis,110
slip,110
lucki,110
rough,110
trip,110
road,109
grew,108
mistak,108
courag,108
cancer,108
fat,108
bunch,108
joke,107
trauma,107
heavi,107
six,107
abil,107
femal,106
asham,106
perhap,106
clearli,106
wont,105
gain,105
stomach,105
respect,104
mainli,104
wear,104
power,104
babi,104
till,104
dumb,103
luck,103
psych,103
occasion,102
dinner,102
involv,102
respond,102
privat,102
shame,101
strength,101
lunch,101
path,101
battl,101
languag,101
homework,101
join,101
happier,101
cloth,101
environ,101
schedul,100
approach,100
bitch,100
blood,100
overwhelm,100
kick,100
exam,100
carri,99
intellig,99
water,99
forgiv,98
relax,98
surround,98
accomplish,98
counselor,98
routin,98
signific,97
overal,97
boy,97
unemploy,96
five,96
store,96
overcom,96
content,96
burn,95
movi,95
piti,95
led,95
goal,95
repeat,95
medit,95
stabl,94
assum,94
previou,94
slightli,94
subject,94
forgot,94
variou,94
interview,94
polic,93
catch,93
street,93
bathroom,93
skin,93
snap,93
awesom,93
screw,93
frequent,93
shower,93
averag,92
medicin,92
provid,92
properli,92
opposit,92
upon,92
loud,91
pull,91
track,91
particularli,91
particular,91
ridicul,90
slow,90
bought,90
ride,90
comment,90
ultim,90
doesnt,90
lock,89
closer,89
obviou,89
repli,89
initi,88
field,88
regular,88
rape,88
logic,88
