,0
like,23610
feel,23574
get,17848
know,16054
time,14803
want,13955
peopl,12343
depress,11841
realli,11750
life,11602
even,11437
think,10282
would,9930
day,9782
tri,9522
one,9494
work,8526
go,8493
never,7604
make,7388
much,7341
help,7139
talk,7086
back,6373
see,6196
someth,6087
anyth,5839
could,5686
way,5684
still,5587
got,5582
alway,5473
good,5361
take,5189
school,5170
say,5168
person,5047
someon,4968
live,4943
anyon,4938
year,4890
need,4705
better,4516
tell,4508
sinc,4479
also,4432
everyth,4375
lot,4340
job,4286
everi,4280
told,4170
right,4150
happi,4111
noth,4109
last,4085
end,4081
come,4061
bad,3989
anxieti,3958
love,3917
first,3843
find,3801
felt,3799
around,3784
well,3777
thing,3744
long,3671
famili,3647
thought,3592
ever,3554
look,3534
said,3513
stop,3427
start,3417
made,3398
away,3343
els,3309
friend,3295
hard,3205
point,3188
use,3160
keep,3127
hate,3108
everyon,3064
went,3051
home,2985
alon,2970
ago,2963
actual,2940
though,2833
social,2808
care,2744
self,2739
sure,2690
two,2684
new,2681
suicid,2673
mayb,2638
wors,2605
give,2603
past,2541
post,2530
abl,2508
mani,2484
littl,2429
pretti,2398
sometim,2397
cri,2394
night,2391
week,2390
sleep,2389
enough,2334
best,2294
without,2294
sad,2286
relationship,2285
read,2263
anoth,2236
today,2221
old,2215
mind,2215
mental,2174
thank,2170
done,2147
understand,2143
leav,2120
let,2114
colleg,2113
kind,2094
left,2088
reason,2000
almost,1986
put,1962
world,1960
complet,1957
deal,1951
hope,1944
probabl,1902
wrong,1890
lost,1885
girl,1881
die,1867
kill,1851
part,1848
recent,1842
place,1841
differ,1828
next,1826
normal,1824
class,1820
guess,1819
wish,1815
might,1798
move,1795
dont,1789
pain,1786
sorri,1778
hous,1771
high,1757
turn,1748
head,1743
hurt,1733
great,1710
becom,1703
bit,1697
tire,1683
final,1675
stay,1634
stuff,1619
money,1604
close,1601
bed,1594
call,1594
seem,1587
eat,1579
found,1577
alreadi,1573
guy,1567
medic,1563
anyway,1562
real,1558
mother,1557
togeth,1543
quit,1540
happen,1533
emot,1525
least,1524
yet,1502
month,1498
problem,1476
therapi,1476
advic,1462
therapist,1450
rememb,1429
whole,1427
write,1426
coupl,1423
idea,1420
dad,1415
usual,1412
worri,1396
late,1392
support,1388
mean,1383
believ,1379
came,1372
watch,1350
decid,1348
interest,1344
experi,1342
struggl,1341
basic,1332
either,1315
room,1309
may,1309
lose,1302
ask,1295
sever,1294
nan,1292
break,1291
took,1290
pleas,1271
often,1267
sit,1266
doctor,1266
chang,1261
remov,1251
fact,1237
enjoy,1233
far,1229
situat,1220
later,1218
matter,1216
knew,1214
wonder,1201
current,1199
possibl,1195
gone,1194
le,1192
stupid,1186
health,1168
constantli,1167
nice,1150
face,1135
spend,1132
afraid,1131
hear,1130
extrem,1129
drink,1128
howev,1088
fear,1077
meet,1077
caus,1070
honestli,1051
gener,1050
side,1042
sick,1038
due,1036
angri,1028
physic,1028
date,1026
liter,1024
learn,1022
big,1018
abus,1007
wake,1007
pay,998
fall,991
fight,990
wait,989
suppos,987
cut,984
met,982
listen,974
fun,973
walk,967
insid,962
lone,962
soon,961
worst,948
suffer,946
fine,943
moment,942
instead,940
posit,938
entir,935
eventu,933
realiz,933
half,931
bodi,931
consid,922
group,922
state,921
nobodi,920
father,920
run,920
sex,915
weird,914
futur,913
brain,906
cours,903
morn,902
stori,894
motiv,891
sens,890
outsid,876
ill,874
broke,873
univers,873
whatev,873
singl,871
anxiou,870
longer,869
three,868
bare,867
lie,865
car,862
play,862
sort,858
full,857
short,853
absolut,852
hell,851
control,850
sister,849
heart,848
horribl,847
forc,845
cant,837
stress,837
speak,836
drive,835
small,834
apart,833
phone,828
show,817
gotten,812
man,810
second,810
open,806
miss,799
age,798
act,796
brother,796
continu,794
saw,794
disord,792
terribl,792
mood,788
cannot,788
handl,787
spent,787
effect,786
hold,786
especi,786
everyday,785
neg,784
comfort,782
kept,779
gave,777
summer,767
upset,766
rather,764
empti,760
low,759
wast,759
graduat,754
stuck,752
convers,741
share,740
relat,739
hit,735
difficult,733
worth,727
bring,724
energi,722
accept,719
panic,715
finish,714
whenev,713
sexual,711
major,710
death,709
confid,708
question,707
psychiatrist,701
explain,695
seen,689
hospit,687
forward,686
mostli,682
crazi,669
music,667
total,663
fail,663
trust,662
smoke,661
free,660
attent,659
food,657
weight,656
along,655
toward,654
game,650
contact,650
begin,650
figur,647
video,647
hour,646
taken,645
true,639
text,633
similar,630
cope,629
exist,627
dead,625
fix,624
stand,622
human,620
rest,612
except,612
lack,609
despit,606
child,604
studi,603
hey,602
behind,598
super,597
huge,597
truli,593
god,591
hand,591
alcohol,587
bipolar,586
type,583
although,580
somehow,579
push,577
chanc,576
serious,576
tomorrow,574
busi,572
ye,571
top,570
mine,565
easi,557
manag,557
deserv,553
name,551
broken,550
deep,550
aw,545
smile,544
semest,544
simpli,544
dark,542
worthless,540
focu,539
import,538
issu,538
miser,537
given,534
yesterday,534
young,533
convinc,529
anger,528
commun,527
affect,527
success,524
aliv,523
set,521
amaz,518
incred,516
awkward,515
failur,515
strong,515
constant,514
whether,514
laugh,514
mess,511
troubl,509
yeah,507
treatment,507
slowli,506
forget,504
student,504
wife,503
front,503
daili,503
avoid,501
countri,500
grow,497
isol,495
respons,495
fast,494
earli,492
grade,490
fault,489
answer,488
sound,485
exactli,484
middl,484
certain,482
older,480
drunk,480
pick,480
seek,478
plan,477
husband,477
dog,476
degre,475
seriou,475
numb,474
case,471
immedi,471
forev,465
mad,465
effort,465
anybodi,464
follow,464
afford,463
connect,462
nervou,461
definit,461
imagin,459
fit,459
readi,457
must,457
harm,456
blame,455
realiti,454
reach,452
damn,451
dream,448
lazi,444
step,439
appoint,438
touch,438
male,436
excit,436
healthi,436
ugli,434
none,434
hopeless,434
amount,433
honest,433
somewher,432
awar,432
citi,430
childhood,428
weekend,427
order,424
natur,423
perfect,422
beauti,421
vent,420
desper,420
town,418
notic,418
parti,416
exampl,416
exhaust,415
drug,415
obvious,414
voic,413
improv,412
chest,410
career,409
harder,408
hello,407
piec,407
birthday,406
guilti,404
level,402
within,402
save,402
experienc,402
compani,401
nearli,401
marri,400
unabl,398
clean,398
woman,398
check,397
activ,396
fell,396
escap,395
treat,394
appar,394
edit,392
straight,392
insur,392
word,391
diagnosi,390
useless,389
funni,386
form,386
rare,386
didnt,385
selfish,385
attack,384
confus,382
suddenli,380
visit,380
comput,380
purpos,378
ruin,376
drop,376
intens,376
scream,375
lay,375
weed,373
throw,373
pathet,373
period,372
session,371
list,371
meant,369
public,368
pa,368
admit,367
hang,367
imposs,366
process,365
embarrass,363
addict,363
light,362
easier,362
twice,362
as,361
known,361
genuin,361
esteem,360
door,356
trigger,356
fill,355
cycl,355
attempt,355
rant,354
sent,354
crush,353
weak,352
disappoint,351
fake,351
account,351
ignor,350
bother,349
profession,348
burden,347
expect,346
quickli,345
brought,345
breath,345
function,345
partner,344
number,344
easili,344
train,342
poor,342
inform,342
episod,341
sub,341
anywher,341
build,339
societi,339
gym,339
woke,339
progress,338
near,338
offer,338
interact,336
somebodi,336
behavior,335
truth,335
space,334
non,332
uncomfort,332
choic,331
cold,331
safe,331
multipl,331
doubt,331
appreci,330
common,330
send,326
adult,326
mum,326
agre,325
beat,324
throughout,324
younger,323
psychologist,323
guilt,322
offic,322
besid,322
loneli,322
random,322
term,321
four,320
messag,319
option,319
lead,318
badli,318
book,318
hide,317
